station_id,station_triplet,name,latitude,longitude,elevation_ft,elevation_m,county,huc,active
1344,1344:CO:SNTL,Alta Lakes,37.88929,-107.84484,11290.0,3441.192,San Miguel,140300030103,True
303,303:CO:SNTL,Apishapa,37.33067,-105.06766,10000.0,3048.0,Huerfano,110200060406,True
1030,1030:CO:SNTL,Arapaho Ridge,40.35098,-106.38141,10960.0,3340.608,Grand,140100010604,True
322,322:CO:SNTL,Bear Lake,40.31176,-105.6467,9490.0,2892.552,Larimer,101900060201,True
1061,1061:CO:SNTL,Bear River,40.06152,-107.00948,9100.0,2773.6800000000003,Routt,140500010102,True
327,327:CO:SNTL,Beartown,37.71433,-107.5124,11580.0,3529.5840000000003,San Juan,130100010104,True
1041,1041:CO:SNTL,Beaver Ck Village,39.59871,-106.51113,8530.0,2599.944,Eagle,140100030301,True
335,335:CO:SNTL,Berthoud Summit,39.80364,-105.77786,11300.0,3444.2400000000002,Grand,140100010202,True
345,345:CO:SNTL,Bison Lake,39.76458,-107.35628,10950.0,3337.56,Garfield,140100011401,True
1185,1185:CO:SNTL,Black Mesa,37.78968,-108.18376,11580.0,3529.5840000000003,Dolores,140300020103,True
1161,1161:CO:SNTL,Black Mountain,40.8879,-105.66404,8940.0,2724.9120000000003,Larimer,101900070501,True
369,369:CO:SNTL,Brumley,39.08758,-106.54231,10570.0,3221.7360000000003,Lake,110200010101,True
938,938:CO:SNTL,Buckskin Joe,39.30378,-106.11316,11160.0,3401.568,Park,101900010102,True
913,913:CO:SNTL,Buffalo Park,40.22838,-106.5962,9240.0,2816.3520000000003,Grand,140100010706,True
378,378:CO:SNTL,Burro Mountain,39.87504,-107.59902,9290.0,2831.592,Rio Blanco,140500050302,True
380,380:CO:SNTL,Butte,38.89435,-106.95327,10190.0,3105.9120000000003,Gunnison,140200010206,True
387,387:CO:SNTL,Cascade #2,37.65751,-107.80287,8990.0,2740.152,San Juan,140801040201,True
1326,1326:CO:SNTL,Castle Peak,39.00074,-106.83912,11510.0,3508.248,Pitkin,140100040202,True
1101,1101:CO:SNTL,Chapman Tunnel,39.2621,-106.62944,10090.0,3075.4320000000002,Pitkin,140100040504,True
1059,1059:CO:SNTL,Cochetopa Pass,38.16273,-106.5988,10020.0,3054.096,Saguache,130100040203,True
408,408:CO:SNTL,Columbine,40.39591,-106.60437,9170.0,2795.016,Jackson,101800010102,True
409,409:CO:SNTL,Columbine Pass,38.41819,-108.38313,9160.0,2791.9680000000003,Montrose,140200050202,True
904,904:CO:SNTL,Columbus Basin,37.44146,-108.02468,10780.0,3285.744,La Plata,140801050101,True
412,412:CO:SNTL,Copeland Lake,40.20733,-105.5695,8570.0,2612.136,Boulder,101900050202,True
415,415:CO:SNTL,Copper Mountain,39.48917,-106.17154,10500.0,3200.4,Summit,140100020302,True
426,426:CO:SNTL,Crosho,40.16749,-107.05769,8960.0,2731.0080000000003,Rio Blanco,140500010106,True
430,430:CO:SNTL,Culebra #2,37.20939,-105.19988,10560.0,3218.688,Costilla,130100020902,True
431,431:CO:SNTL,Cumbres Trestle,37.01877,-106.45275,10030.0,3057.1440000000002,Conejos,130201020203,True
438,438:CO:SNTL,Deadman Hill,40.80572,-105.77018,10240.0,3121.152,Larimer,101900070502,True
457,457:CO:SNTL,Dry Lake,40.5337,-106.7814,8240.0,2511.552,Routt,140500010409,True
