Observation ID,Date,Longitude,latitude,Area,Aspect,Type,Trigger,avalanche_size,avalanche_occurred,elevation,slope,aspect_degrees,aspect_cardinal,snow_depth,new_snow_24h,swe,temp,wind_speed,nearest_stations,nearest_distances
NEG_003200,2016-10-02 07:00:00+00:00,-107.1176,39.2007,Aspen,,,,0.0,0,3608.0,35.4,19.8,N,0.0,0.0,0.0,6.2,,"669:CO:SNTL,618:CO:SNTL,737:CO:SNTL","13.8,16.7,21.5"
-107.054760_38.883379_20250116_1900,2025-01-16 19:00:00+00:00,-107.0548,38.8834,Gunnison,E,L,N,1.0,1,3708.0,23.8,193.3,S,93.7,0.9,24.6,-8.0,,"380:CO:SNTL,737:CO:SNTL,1326:CO:SNTL","8.9,14.6,22.8"
-106.381128_38.622235_20260127_1900,2026-01-27 19:00:00+00:00,-106.3811,38.6222,Sawatch,E,HS,N,1.5,1,3814.0,24.0,64.7,NE,42.8,-2.4,8.6,-17.5,,"1100:CO:SNTL,701:CO:SNTL,680:CO:SNTL","8.7,15.3,28.5"
NEG_015295,2022-04-23 07:00:00+00:00,-106.6546,40.7483,Steamboat & Flat Tops,,,,0.0,0,3265.0,17.5,10.1,N,133.2,-2.0,54.9,-5.0,,"1033:CO:SNTL,940:CO:SNTL,825:CO:SNTL","7.2,10.9,23.5"
NEG_015019,2020-08-17 07:00:00+00:00,-108.0973,39.0656,Grand Mesa,,,,0.0,0,2942.0,6.9,48.1,NE,0.0,0.0,0.0,12.6,,"622:CO:SNTL,682:CO:SNTL,675:CO:SNTL","3.6,19.0,39.9"
NEG_000563,2018-08-04 07:00:00+00:00,-107.0822,38.968,Gunnison,,,,0.0,0,3438.0,34.7,220.7,SW,0.0,0.0,0.0,6.6,,"737:CO:SNTL,669:CO:SNTL,380:CO:SNTL","5.9,13.4,13.8"
NEG_013208,2018-09-18 07:00:00+00:00,-106.0751,39.4328,Vail & Summit County,,,,0.0,0,3584.0,20.6,70.4,E,0.0,0.0,0.0,7.2,,"531:CO:SNTL,415:CO:SNTL,485:CO:SNTL","8.1,10.4,12.1"
NEG_002755,2020-06-05 07:00:00+00:00,-105.8669,39.6448,Vail & Summit County,,,,0.0,0,3382.0,14.8,263.4,W,0.0,-0.0,0.0,10.6,,"505:CO:SNTL,602:CO:SNTL,935:CO:SNTL","0.3,4.5,9.8"
NEG_016913,2019-10-11 07:00:00+00:00,-107.6412,37.8206,Northern San Juan,,,,0.0,0,2866.0,9.7,332.3,NW,0.0,0.0,0.0,-7.9,,"629:CO:SNTL,632:CO:SNTL,713:CO:SNTL","8.1,9.0,10.2"
NEG_014509,2024-09-27 07:00:00+00:00,-107.0814,38.8644,Gunnison,,,,0.0,0,3240.0,6.6,215.4,SW,0.0,0.0,0.0,7.2,,"380:CO:SNTL,737:CO:SNTL,669:CO:SNTL","11.6,16.9,24.4"
-107.011197_38.955325_20250408_1800,2025-04-08 18:00:00+00:00,-107.0112,38.9553,Gunnison,W,WL,N,1.0,1,3797.0,22.8,224.4,SW,150.7,-5.4,54.7,-1.0,,"737:CO:SNTL,380:CO:SNTL,1326:CO:SNTL","7.4,8.4,15.7"
NEG_001479,2016-11-25 07:00:00+00:00,-107.0756,39.1731,Aspen,,,,0.0,0,3631.0,22.9,311.5,NW,17.9,6.5,4.2,-7.4,,"669:CO:SNTL,737:CO:SNTL,618:CO:SNTL","12.1,17.8,19.0"
NEG_013124,2016-12-18 07:00:00+00:00,-106.6517,39.1152,Aspen,,,,0.0,0,3682.0,31.0,358.6,N,82.1,-1.4,15.1,-23.0,,"542:CO:SNTL,369:CO:SNTL,1141:CO:SNTL","5.6,9.9,16.0"
NEG_014409,2025-05-21 07:00:00+00:00,-108.0359,37.4331,Southern San Juan,,,,0.0,0,3109.0,6.2,173.7,S,41.9,-2.5,9.9,3.3,,"904:CO:SNTL,1060:CO:SNTL,905:CO:SNTL","1.4,10.4,11.8"
NEG_012590,2017-11-14 07:00:00+00:00,-106.1031,39.4422,Vail & Summit County,,,,0.0,0,4126.0,6.6,200.8,S,14.0,0.0,4.1,-5.5,,"415:CO:SNTL,531:CO:SNTL,485:CO:SNTL","7.9,9.8,10.7"
-105.650250_39.837850_20191218_0700,2019-12-18 07:00:00+00:00,-105.6502,39.8379,Front Range,E,HS,N,2.0,1,3430.0,10.2,131.6,SE,88.1,-3.8,19.6,-7.0,,"335:CO:SNTL,564:CO:SNTL,1186:CO:SNTL","11.5,12.1,18.9"
NEG_003753,2025-04-01 07:00:00+00:00,-107.0205,39.0126,Gunnison,,,,0.0,0,3676.0,20.7,129.5,SE,197.3,0.2,62.8,-12.5,,"737:CO:SNTL,669:CO:SNTL,380:CO:SNTL","2.5,12.9,14.4"
-106.835430_39.008660_20220301_0700,2022-03-01 07:00:00+00:00,-106.8354,39.0087,Aspen,SE,SS,N,1.5,1,3454.0,28.4,137.7,SE,109.2,-2.5,32.5,-5.3,,"1326:CO:SNTL,1141:CO:SNTL,380:CO:SNTL","0.9,8.1,16.3"
NEG_009163,2024-05-03 07:00:00+00:00,-107.1275,39.1005,Aspen,,,,0.0,0,3644.0,35.6,218.3,SW,38.3,-4.7,15.3,-1.5,,"669:CO:SNTL,737:CO:SNTL,618:CO:SNTL","2.9,11.7,14.2"
NEG_011637,2025-11-24 07:00:00+00:00,-106.5599,38.8173,Gunnison,,,,0.0,0,2867.0,12.2,3.6,N,5.2,2.6,2.0,-7.9,,"680:CO:SNTL,1100:CO:SNTL,1141:CO:SNTL","2.6,21.1,25.1"
NEG_004261,2025-12-03 07:00:00+00:00,-107.667,37.8881,Northern San Juan,,,,0.0,0,3323.0,30.6,88.7,E,49.5,5.5,6.6,-17.1,,"713:CO:SNTL,538:CO:SNTL,629:CO:SNTL","4.1,5.2,6.9"
-107.048007_38.878586_20250214_1200,2025-02-14 12:00:00+00:00,-107.048,38.8786,Gunnison,E,,N,2.0,1,3466.0,26.2,149.6,SE,158.3,13.9,32.4,-8.9,,"380:CO:SNTL,737:CO:SNTL,1326:CO:SNTL","8.4,15.1,22.6"
-106.877693_39.127137_20240108_0700,2024-01-08 07:00:00+00:00,-106.8777,39.1271,Aspen,SE,SS,N,1.0,1,3704.0,26.2,142.3,SE,74.6,2.5,18.4,-20.3,,"1326:CO:SNTL,1141:CO:SNTL,737:CO:SNTL","14.4,19.0,19.4"
NEG_018964,2024-04-06 07:00:00+00:00,-105.6736,40.3113,Front Range,,,,0.0,0,3396.0,49.8,135.7,SE,145.8,-5.0,48.5,-10.1,,"322:CO:SNTL,1042:CO:SNTL,412:CO:SNTL","2.3,13.7,14.6"
-106.499413_39.010335_20240602_0600,2024-06-02 06:00:00+00:00,-106.4994,39.0103,Sawatch,N,WS,N,2.0,1,4126.0,28.1,4.4,N,0.0,-1.7,0.0,-0.2,,"369:CO:SNTL,542:CO:SNTL,1141:CO:SNTL","9.4,12.1,21.3"
NEG_004448,2019-05-19 07:00:00+00:00,-107.1232,39.0829,Aspen,,,,0.0,0,3309.0,35.9,186.3,S,48.9,0.3,18.6,2.6,,"669:CO:SNTL,737:CO:SNTL,618:CO:SNTL","1.9,9.9,15.1"
-106.804490_37.537230_20191215_0700,2019-12-15 07:00:00+00:00,-106.8045,37.5372,Southern San Juan,SE,SS,N,2.0,1,2813.0,0.0,270.0,W,143.2,11.5,29.3,-12.4,,"840:CO:SNTL,874:CO:SNTL,1325:CO:SNTL","6.3,6.5,20.5"
NEG_009645,2020-04-12 07:00:00+00:00,-105.8891,39.7103,Front Range,,,,0.0,0,3581.0,17.8,130.4,SE,155.1,-2.1,47.0,-13.2,,"602:CO:SNTL,970:CO:SNTL,505:CO:SNTL","4.2,6.2,7.3"
NEG_002689,2021-03-09 07:00:00+00:00,-106.0418,39.5242,Vail & Summit County,,,,0.0,0,2878.0,13.5,323.8,NW,87.9,-2.5,23.4,-5.1,,"415:CO:SNTL,937:CO:SNTL,531:CO:SNTL","11.8,14.9,18.2"
NEG_013456,2023-11-12 07:00:00+00:00,-106.7992,39.0981,Aspen,,,,0.0,0,3497.0,8.9,41.9,NE,8.9,1.6,3.0,-6.5,,"1326:CO:SNTL,1141:CO:SNTL,542:CO:SNTL","11.4,12.8,16.4"
NEG_005801,2025-10-23 07:00:00+00:00,-107.6346,37.8909,Northern San Juan,,,,0.0,0,3591.0,15.3,181.3,S,0.0,0.0,0.0,-4.1,,"538:CO:SNTL,713:CO:SNTL,629:CO:SNTL","6.0,7.0,9.4"
NEG_011005,2018-01-23 07:00:00+00:00,-106.8783,39.1246,Aspen,,,,0.0,0,3635.0,30.1,114.9,SE,85.8,-3.8,21.7,-16.9,,"1326:CO:SNTL,1141:CO:SNTL,737:CO:SNTL","14.2,18.8,19.2"
-106.041827_39.524172_20220224_0700,2022-02-24 07:00:00+00:00,-106.0418,39.5242,Vail & Summit County,W,SS,N,1.5,1,2878.0,13.5,323.8,NW,102.2,1.3,22.6,-18.6,,"415:CO:SNTL,937:CO:SNTL,531:CO:SNTL","11.8,14.9,18.2"
NEG_001056,2019-11-08 07:00:00+00:00,-107.9401,37.8201,Northern San Juan,,,,0.0,0,3440.0,29.3,201.1,S,2.3,0.0,1.1,-4.0,,"586:CO:SNTL,465:CO:SNTL,1344:CO:SNTL","2.7,8.2,11.4"
NEG_012085,2019-06-15 07:00:00+00:00,-105.8588,39.7195,Front Range,,,,0.0,0,3761.0,36.6,184.2,S,27.9,-7.0,15.7,1.5,,"602:CO:SNTL,970:CO:SNTL,505:CO:SNTL","6.3,6.5,8.2"
NEG_008915,2024-04-25 07:00:00+00:00,-106.1216,39.5099,Vail & Summit County,,,,0.0,0,3689.0,27.8,237.5,SW,98.2,-7.0,38.3,-2.3,,"415:CO:SNTL,485:CO:SNTL,531:CO:SNTL","4.9,15.8,17.4"
NEG_005196,2025-06-27 07:00:00+00:00,-107.6545,37.925,Northern San Juan,,,,0.0,0,3279.0,24.9,273.7,W,0.0,0.0,0.0,5.8,,"538:CO:SNTL,713:CO:SNTL,629:CO:SNTL","2.1,6.4,10.7"
-108.062535_37.694747_20230106_0700,2023-01-06 07:00:00+00:00,-108.0625,37.6947,Northern San Juan,E,SS,N,1.5,1,3397.0,15.7,92.8,E,112.3,-7.9,21.9,-12.8,,"739:CO:SNTL,465:CO:SNTL,1185:CO:SNTL","7.3,10.8,15.0"
NEG_003726,2016-02-10 07:00:00+00:00,-105.9243,39.644,Vail & Summit County,,,,0.0,0,3257.0,5.7,178.3,S,120.8,0.0,31.4,-5.8,,"602:CO:SNTL,505:CO:SNTL,935:CO:SNTL","3.8,4.7,13.2"
-105.924779_39.698965_20230216_0700,2023-02-16 07:00:00+00:00,-105.9248,39.699,Vail & Summit County,W,SS,N,1.0,1,3890.0,12.1,278.6,W,123.4,-1.4,30.3,-16.7,,"602:CO:SNTL,970:CO:SNTL,505:CO:SNTL","3.3,7.5,7.5"
NEG_001735,2017-09-30 07:00:00+00:00,-107.042,38.9954,Gunnison,,,,0.0,0,3634.0,19.6,103.0,E,2.4,0.0,1.0,1.4,,"737:CO:SNTL,669:CO:SNTL,380:CO:SNTL","2.2,12.7,13.6"
NEG_008638,2024-01-16 07:00:00+00:00,-107.1294,38.8885,Gunnison,,,,0.0,0,3492.0,27.5,98.9,E,123.7,0.1,26.7,-12.1,,"380:CO:SNTL,737:CO:SNTL,669:CO:SNTL","15.3,15.6,21.1"
NEG_003859,2025-07-05 07:00:00+00:00,-108.0341,37.4392,Southern San Juan,,,,0.0,0,3177.0,20.1,120.6,SE,0.0,0.0,0.0,7.7,,"904:CO:SNTL,1060:CO:SNTL,905:CO:SNTL","0.9,10.1,12.0"
